method	task	env	traj_num	max_history_len	action_len	traj_interval	training_traj_sampling_strategy	base_ckpt_path	policy_config	result_note
gru_burnin	mikasa_remember_color_3	RememberColor3-v0	7	6	10	10	tail	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260609_2221visual_k4_v2/rc3_start_anchor_v3fbest_state_token_visualwriter_k4_b4_read001_gate2_s02_lr1e4_6ep_idx100_seed0_v2/checkpoints/epoch_3_train_mean_loss_0_000.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	burn_in_start_id=8 burn_in_loss_traj_num=2
gru_burnin	mikasa_remember_color_5	RememberColor5-v0	7	6	10	10	tail	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064830/rc5_dense_idx4_stepmatch_seed0/checkpoints/epoch_32_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	burn_in_start_id=8 burn_in_loss_traj_num=2
gru_burnin	mikasa_remember_color_9	RememberColor9-v0	7	6	10	10	tail	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064937/rc9_top1_idx4_seed2_retry/checkpoints/epoch_37_train_mean_loss_0_002.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	burn_in_start_id=8 burn_in_loss_traj_num=2
gru_burnin	mikasa_intercept_medium	InterceptMedium-v0	13	12	8	8	tail	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/intercept_top1_seed0/checkpoints/epoch_8_train_mean_loss_0_003.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	burn_in_start_id=16 burn_in_loss_traj_num=4
gru_burnin	mikasa_shell_game_touch	ShellGameTouch-v0	46	45	2	10	tail	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064831/shell_dense_idx4_stepmatch_seed0/checkpoints/epoch_7_train_mean_loss_0_001.ckpt	diffusion_mikasa_visual_gru_late_anchor_memory	burn_in_start_id=8 burn_in_loss_traj_num=8
late_cue_direct_anchor	mikasa_remember_color_3	RememberColor3-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260609_2221visual_k4_v2/rc3_start_anchor_v3fbest_state_token_visualwriter_k4_b4_read001_gate2_s02_lr1e4_6ep_idx100_seed0_v2/checkpoints/epoch_3_train_mean_loss_0_000.ckpt	diffusion_mikasa_start_anchored_direct_anchor_memory	repaired 6/19 score 0.810; historical high-score line protocol-sensitive
late_cue_direct_anchor	mikasa_remember_color_5	RememberColor5-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064830/rc5_dense_idx4_stepmatch_seed0/checkpoints/epoch_32_train_mean_loss_0_003.ckpt	diffusion_mikasa_start_anchored_direct_anchor_memory	repaired 6/19 score 0.620; historical high-score line protocol-sensitive
late_cue_direct_anchor	mikasa_remember_color_9	RememberColor9-v0	6	5	10	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064937/rc9_top1_idx4_seed2_retry/checkpoints/epoch_37_train_mean_loss_0_002.ckpt	diffusion_mikasa_start_anchored_direct_anchor_memory	repaired 6/19 score 0.290; historical high-score line protocol-sensitive
late_cue_direct_anchor	mikasa_intercept_medium	InterceptMedium-v0	12	11	8	8	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_053019/intercept_top1_seed0/checkpoints/epoch_8_train_mean_loss_0_003.ckpt	diffusion_mikasa_start_anchored_direct_anchor_memory	repaired 6/19 score 0.790; historical high-score line protocol-sensitive
late_cue_direct_anchor	mikasa_shell_game_touch	ShellGameTouch-v0	45	44	2	10	random	/mnt/3fs1/data/tingwen.du/icra_method_dev/runs/mikasa_method_dev/20260607_064831/shell_dense_idx4_stepmatch_seed0/checkpoints/epoch_7_train_mean_loss_0_001.ckpt	diffusion_mikasa_start_anchored_direct_anchor_memory	repaired 6/19 score 0.820; historical high-score line protocol-sensitive
